Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
giovanni rana gnocchetti freschi di patate;2.4;1.11;53.75;500;g;pasta e riso;gnocchi
gnocchi di patate con zucca;1.92;0.48;75.0;400;g;pasta e riso;gnocchi
gnocchi di patate;2.79;1.19;57.35;500;g;pasta e riso;gnocchi
gnocchetti di patate freschi;1.0;0.89;11.0;500;g;pasta e riso;gnocchi
gnocchi casalinghi;1.99;0.37;81.41;500;g;pasta e riso;gnocchi
chicche di patata;2.5;1.75;30.0;500;g;pasta e riso;gnocchi
il pastaio, gnocchi integrali;1.59;1.55;2.52;500;g;pasta e riso;gnocchi
il pastaio, gnocchi ripieni speck e brie;3.19;1.6;49.84;400;g;pasta e riso;gnocchi
gnocchetti tenerotti minions;2.49;2.35;5.62;500;g;pasta e riso;gnocchi
gnocchi con radicchio;2.49;1.89;24.1;400;g;pasta e riso;gnocchi
spatzle tricolore;3.29;2.0;39.21;500;g;pasta e riso;gnocchi
chicche di patate;2.84;1.29;54.58;500;g;pasta e riso;gnocchi
il pastaio, i classici gnocchi di patata;1.59;;;500;g;pasta e riso;gnocchi
gnocchi happy figure;3.19;2.55;20.06;200;g;pasta e riso;gnocchi
patarò, gnocchi di patate senza glutine;3.08;;;400;g;pasta e riso;gnocchi
il pastaio, freschissimi gnocchi di patata;2.75;;;500;g;pasta e riso;gnocchi
il pastaio, freschissimi chicche tricolori;2.75;;;500;g;pasta e riso;gnocchi
bocon, spätzle gnocchetti tirolesi;2.99;;;350;g;pasta e riso;gnocchi
bocon, sfida alla nonna! canederli mini allo speck;3.55;;;350;g;pasta e riso;gnocchi
esselunga, gnocchi freschi di patate;1.49;;;500;g;pasta e riso;gnocchi
esselunga, gnocchetti freschi di patate;1.49;;;500;g;pasta e riso;gnocchi
esselunga top, gnocchi freschi di patate;2.89;;;400;g;pasta e riso;gnocchi
gnocchi rapa rossa;2.99;1.5;49.83;400;g;pasta e riso;gnocchi
chicche fresche di patate;1.99;1.14;42.71;200;g;pasta e riso;gnocchi
gnocchi freschi zucca;2.89;1.34;53.63;400;g;pasta e riso;gnocchi
gnocchi freschi spinaci;2.89;1.34;53.63;400;g;pasta e riso;gnocchi
gnocchi alla romana;1.99;1.59;20.1;500;g;pasta e riso;gnocchi
gnocchi ripieni speck e brie;2.59;;;400;g;pasta e riso;gnocchi
gnocchetti tricolore;3.3;;;500;g;pasta e riso;gnocchi
gnocchi di patate;2.9;;;500;g;pasta e riso;gnocchi
integrale farfalle;1.19;0.78;34.45;500;g;pasta e riso;pasta integrale
de cecco fusilli n°34 integrali;1.69;0.99;41.42;500;g;pasta e riso;pasta integrale
farfalline all'uovo biologiche;0.95;0.79;16.84;275;g;pasta e riso;pasta integrale
barilla senza glutine penne rigate;1.85;1.0;45.95;400;g;pasta e riso;pasta integrale
barilla casarecce di ceci;2.89;2.85;1.38;250;g;pasta e riso;pasta integrale
garofalo, legumi radiatore senza glutine;2.79;1.99;28.67;400;g;pasta e riso;pasta integrale
spaghetti integrali;3.15;0.99;68.57;500;g;pasta e riso;pasta integrale
spaghetti integrali;2.99;0.69;76.92;500;g;pasta e riso;pasta integrale
penne rigate semola integrale;0.95;0.49;48.42;500;g;pasta e riso;pasta integrale
senza glutine spaghetti mais e riso;1.49;1.19;20.13;500;g;pasta e riso;pasta integrale
senza glutine penne rigate mais e riso;1.49;1.19;20.13;500;g;pasta e riso;pasta integrale
senza glutine ditali rigati mais e riso;1.49;1.19;20.13;500;g;pasta e riso;pasta integrale
senza glutine fusilli mais e riso;1.49;1.19;20.13;500;g;pasta e riso;pasta integrale
tagliatelle all'uovo di farro biologiche;2.29;;;250;g;pasta e riso;pasta integrale
ditalini all'uovo biologici;0.95;0.89;6.32;250;g;pasta e riso;pasta integrale
tortiglioni kamut biologici;2.69;;;500;g;pasta e riso;pasta integrale
stelline di semolato biologiche;0.9;0.75;16.67;500;g;pasta e riso;pasta integrale
spaghetti di farro biologici;1.99;1.89;5.03;500;g;pasta e riso;pasta integrale
spaghetti di semolato biologici;0.9;0.75;16.67;500;g;pasta e riso;pasta integrale
pennette di farro biologiche;1.99;1.89;5.03;500;g;pasta e riso;pasta integrale
mezze penne rigate di semolato biologiche;0.9;0.75;16.67;500;g;pasta e riso;pasta integrale
mezze penne kamut biologiche;2.69;;;500;g;pasta e riso;pasta integrale
mezze maniche biologiche integrali;0.9;0.75;16.67;500;g;pasta e riso;pasta integrale
lumachine di semolato biologiche;0.9;0.75;16.67;500;g;pasta e riso;pasta integrale
fusilli di farro biologici;1.99;1.89;5.03;500;g;pasta e riso;pasta integrale
farfalle kamut biologiche;2.7;2.0;25.93;500;g;pasta e riso;pasta integrale
giovanni rana sfogliavelo ricotta e spinaci;3.99;1.59;60.15;250;g;pasta e riso;pasta ripiena
giovanni rana sfogliavelo carne;1.99;0.83;58.29;125;g;pasta e riso;pasta ripiena
giovanni rana sfogliavelo ricotta e spinaci;1.99;0.83;58.29;125;g;pasta e riso;pasta ripiena
giovanni rana sfogliavelo crudo;1.99;0.83;58.29;125;g;pasta e riso;pasta ripiena
giovanni rana gioiaverde funghi;4.9;1.59;67.55;250;g;pasta e riso;pasta ripiena
giovanni rana rustici cappelletti crudo;3.49;1.0;71.35;250;g;pasta e riso;pasta ripiena
giovanni rana gioiaverde zucca;4.9;1.59;67.55;250;g;pasta e riso;pasta ripiena
giovanni rana rustici tortelloni ricotta e spinaci;4.9;1.0;79.59;250;g;pasta e riso;pasta ripiena
barilla emiliane tortellini con prosciutto crudo;1.99;0.89;55.28;250;g;pasta e riso;pasta ripiena
giovanni rana, duetto salsiccia - patate;3.59;2.23;37.88;250;g;pasta e riso;pasta ripiena
giovanni rana, duetto burrata - basilico;3.59;2.0;44.29;250;g;pasta e riso;pasta ripiena
giovanni rana gioiaverde radicchio;3.99;1.59;60.15;250;g;pasta e riso;pasta ripiena
giovanni rana rustici tortellini casarecci;3.49;1.0;71.35;250;g;pasta e riso;pasta ripiena
giovanni rana rustici tortellini carne;3.59;1.89;47.35;250;g;pasta e riso;pasta ripiena
agnolotti alla piemontese;4.9;4.0;18.37;400;g;pasta e riso;pasta ripiena
