Name;Full Price;Current Price;Quantity;Category;Subcategory
Giovanni Rana Gnocchetti freschi di patate;2,40;1,11;500 g;Pasta e Riso;Gnocchi
GNOCCHI DI PATATE CON ZUCCA;1,92;0,48;400 g;Pasta e Riso;Gnocchi
Gnocchi di Patate;2,79;1,19;500 g;Pasta e Riso;Gnocchi
Gnocchetti Di Patate Freschi;1,00;0,89;500 g;Pasta e Riso;Gnocchi
GNOCCHI CASALINGHI;1,99;0,37;500 g;Pasta e Riso;Gnocchi
CHICCHE DI PATATA;2,50;1,75;500 g;Pasta e Riso;Gnocchi
Il Pastaio, Gnocchi integrali;1,59;1,55;500 g;Pasta e Riso;Gnocchi
Il Pastaio, Gnocchi ripieni speck e brie;3,19;1,60;400 g;Pasta e Riso;Gnocchi
I Tipici Spätzle Freschi Gnocchetti Tirolesi agli...;1,99;1,00;350 g;Pasta e Riso;Gnocchi
Gnocchetti Tenerotti Minions;2,49;2,35;500 g;Pasta e Riso;Gnocchi
Gnocchi con Radicchio;2,49;1,89;400 g;Pasta e Riso;Gnocchi
Spatzle Tricolore;3,29;2,00;500 g;Pasta e Riso;Gnocchi
CHICCHE DI PATATE;2,84;1,29;500 g;Pasta e Riso;Gnocchi
Il Pastaio, I Classici Gnocchi di patata;;1,59;500 g;Pasta e Riso;Gnocchi
GNOCCHI HAPPY FIGURE;3,19;2,55;200 g;Pasta e Riso;Gnocchi
Patarò, Gnocchi di patate senza glutine;;3,08;400 g;Pasta e Riso;Gnocchi
Il Pastaio, Freschissimi gnocchi di patata;;2,75;500 g;Pasta e Riso;Gnocchi
Il Pastaio, Freschissimi chicche tricolori;;2,75;500 g;Pasta e Riso;Gnocchi
Bocon, Spätzle gnocchetti tirolesi;;2,99;350 g;Pasta e Riso;Gnocchi
Bocon, Sfida alla nonna! Canederli mini allo speck;;3,55;350 g;Pasta e Riso;Gnocchi
Esselunga, Gnocchi freschi di patate;;1,49;500 g;Pasta e Riso;Gnocchi
Esselunga Gnocchi freschi di patate;;7,90;;Pasta e Riso;Gnocchi
Esselunga, Gnocchetti freschi di patate;;1,49;500 g;Pasta e Riso;Gnocchi
Esselunga Top, Gnocchi freschi di patate;;2,89;400 g;Pasta e Riso;Gnocchi
GNOCCHI RAPA ROSSA;2,99;1,50;400 g;Pasta e Riso;Gnocchi
CHICCHE FRESCHE DI PATATE;1,99;1,14;200 g;Pasta e Riso;Gnocchi
GNOCCHI FRESCHI ZUCCA;2,89;1,34;400 g;Pasta e Riso;Gnocchi
GNOCCHI FRESCHI SPINACI;2,89;1,34;400 g;Pasta e Riso;Gnocchi
Gnocchi alla Romana;1,99;1,59;500 g;Pasta e Riso;Gnocchi
GNOCCHI RIPIENI SPECK E BRIE;;2,59;400 g;Pasta e Riso;Gnocchi
Gnocchetti tricolore;;3,30;500 g;Pasta e Riso;Gnocchi
Gnocchi di Patate;;2,90;500 g;Pasta e Riso;Gnocchi
Integrale Farfalle;1,19;0,78;500 g;Pasta e Riso;Pasta Integrale
De Cecco Fusilli n°34 Integrali;1,69;0,99;500 g;Pasta e Riso;Pasta Integrale
Farfalline All'uovo Biologiche;0,95;0,79;275 g;Pasta e Riso;Pasta Integrale
Semola Integrale Barilla, Pennette Rigate Integral...;1,09;0,54;400 g;Pasta e Riso;Pasta Integrale
Barilla Senza Glutine Penne Rigate;1,85;1,00;400 g;Pasta e Riso;Pasta Integrale
Barilla Casarecce di Ceci;2,89;2,85;250 g;Pasta e Riso;Pasta Integrale
Garofalo, Legumi Radiatore senza glutine;2,79;1,99;400 g;Pasta e Riso;Pasta Integrale
SPAGHETTI INTEGRALI;3,15;0,99;500 g;Pasta e Riso;Pasta Integrale
SPAGHETTI INTEGRALI;2,99;0,69;500 g;Pasta e Riso;Pasta Integrale
Rummo, Senza Glutine Penne Rigate n. 66 pasta di r...;2,45;1,49;400 g;Pasta e Riso;Pasta Integrale
Barilla, Legumotti 100% farina di Legumi lenticchi...;3,49;2,99;300 g;Pasta e Riso;Pasta Integrale
Penne Rigate Semola Integrale;0,95;0,49;500 g;Pasta e Riso;Pasta Integrale
Senza Glutine Mezze Penne Multicereali Biologiche...;;2,20;400 g;Pasta e Riso;Pasta Integrale
Senza Glutine Maniche Multicereali Biologiche Di M...;;2,20;400 g;Pasta e Riso;Pasta Integrale
Senza Glutine Caserecce Multicereali Biologiche Di...;;2,20;400 g;Pasta e Riso;Pasta Integrale
Senza Glutine Spaghetti Mais E Riso;1,49;1,19;500 g;Pasta e Riso;Pasta Integrale
Senza Glutine Penne Rigate Mais E Riso;1,49;1,19;500 g;Pasta e Riso;Pasta Integrale
Senza Glutine Ditali Rigati Mais E Riso;1,49;1,19;500 g;Pasta e Riso;Pasta Integrale
Senza Glutine Fusilli Mais E Riso;1,49;1,19;500 g;Pasta e Riso;Pasta Integrale
Tagliatelle All'uovo Di Farro Biologiche;;2,29;250 g;Pasta e Riso;Pasta Integrale
Ditalini All'uovo Biologici;0,95;0,89;250 g;Pasta e Riso;Pasta Integrale
Tortiglioni Kamut Biologici;;2,69;500 g;Pasta e Riso;Pasta Integrale
Stelline Di Semolato Biologiche;0,90;0,75;500 g;Pasta e Riso;Pasta Integrale
Spaghetti Di Farro Biologici;1,99;1,89;500 g;Pasta e Riso;Pasta Integrale
Spaghetti Di Semolato Biologici;0,90;0,75;500 g;Pasta e Riso;Pasta Integrale
Pennette Di Farro Biologiche;1,99;1,89;500 g;Pasta e Riso;Pasta Integrale
Mezze Penne Rigate Di Semolato Biologiche;0,90;0,75;500 g;Pasta e Riso;Pasta Integrale
Mezze Penne Kamut Biologiche;;2,69;500 g;Pasta e Riso;Pasta Integrale
Mezze Maniche Biologiche Integrali;0,90;0,75;500 g;Pasta e Riso;Pasta Integrale
Lumachine Di Semolato Biologiche;0,90;0,75;500 g;Pasta e Riso;Pasta Integrale
Fusilli Di Farro Biologici;1,99;1,89;500 g;Pasta e Riso;Pasta Integrale
Farfalle Kamut Biologiche;2,70;2,00;500 g;Pasta e Riso;Pasta Integrale
Giovanni Rana Sfogliavelo Ricotta e Spinaci;3,99;1,59;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Sfogliavelo Carne;1,99;0,83;125 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Sfogliavelo Ricotta e spinaci;1,99;0,83;125 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Sfogliavelo Crudo;1,99;0,83;125 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Gioiaverde funghi;4,90;1,59;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Rustici Cappelletti crudo;3,49;1,00;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Gioiaverde zucca;4,90;1,59;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Rustici Tortelloni Ricotta e Spinaci;4,90;1,00;250 g;Pasta e Riso;Pasta Ripiena
Barilla Emiliane Tortellini con Prosciutto Crudo;1,99;0,89;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana, Duetto salsiccia - patate;3,59;2,23;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana, Duetto burrata - basilico;3,59;2,00;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Gioiaverde radicchio;3,99;1,59;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Rustici Tortellini casarecci;3,49;1,00;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Rustici Tortellini carne;3,59;1,89;250 g;Pasta e Riso;Pasta Ripiena
Agnolotti alla Piemontese;4,90;4,00;400 g;Pasta e Riso;Pasta Ripiena
